1.650               -0.260              399
1.575               -0.390              400
1.500               -0.520              401
1.425               -0.650              402
1.350               -0.779              403
1.275               -0.909              404
1.200               -1.039              405
1.125               -1.169              406
1.050               -1.299              407
0.975               -1.429              408
0.750               -1.559              409
0.600               -1.559              410
0.450               -1.559              411
0.300               -1.559              412
0.150               -1.559              413
0.000               -1.559              414
-0.150              -1.559              415
-0.300              -1.559              416
-0.450              -1.559              417
-0.600              -1.559              418
-0.750              -1.559              419
-0.975              -1.429              420
-1.050              -1.299              421
-1.125              -1.169              422
-1.200              -1.039              423
-1.275              -0.909              424
-1.350              -0.779              425
-1.425              -0.650              426
-1.500              -0.520              427
-1.575              -0.390              428
-1.650              -0.260              429
-1.725              -0.130              430
-1.725              0.130               431
-1.650              0.260               432
-1.575              0.390               433
-1.500              0.520               434
-1.425              0.650               435
-1.350              0.779               436
-1.275              0.909               437
-1.200              1.039               438
-1.125              1.169               439
-1.050              1.299               440
-0.975              1.429               441
-0.750              1.559               442
-0.600              1.559               443
-0.450              1.559               444
-0.300              1.559               445
-0.150              1.559               446
0.000               1.559               447
0.150               1.559               448
0.300               1.559               449
0.450               1.559               450
0.600               1.559               451
0.750               1.559               452
0.975               1.429               453
1.050               1.299               454
1.125               1.169               455
1.200               1.039               456
1.275               0.909               457
1.350               0.779               458
1.425               0.650               459
1.500               0.520               460
1.575               0.390               461
1.650               0.260               462
1.725               0.130               463
1.650               -0.520              464
1.575               -0.650              465
1.500               -0.779              466
1.425               -0.909              467
1.350               -1.039              468
1.275               -1.169              469
0.375               -1.689              470
0.225               -1.689              471
0.075               -1.689              472
-0.075              -1.689              473
-0.225              -1.689              474
-0.375              -1.689              475
-1.275              -1.169              476
-1.350              -1.039              477
-1.425              -0.909              478
-1.500              -0.779              479
-1.575              -0.650              480
-1.650              -0.520              481
-1.650              0.520               482
-1.575              0.650               483
-1.500              0.779               484
-1.425              0.909               485
-1.350              1.039               486
-1.275              1.169               487
-0.375              1.689               488
-0.225              1.689               489
-0.075              1.689               490
0.075               1.689               491
0.225               1.689               492
0.375               1.689               493
1.275               1.169               494
1.350               1.039               495
1.425               0.909               496
1.500               0.779               497
1.575               0.650               498
1.650               0.520               499
