(9.991,-33.962)     9.99125             -33.961667          6.69                
(9.967,-44.797)     9.966667            -44.796667          6.01                
(10.119,-16.517)    10.119167           -16.516944          6.49                
(10.137,-23.804)    10.137083           -23.804444          6.14                
(10.177,-4.352)     10.176667           -4.351944           5.91                
32_And              10.28               39.458611           5.33                
(10.11,-59.454)     10.11               -59.454444          5.89                
(10.514,66.148)     10.514167           66.1475             5.83                
(10.4,24.629)       10.4                24.629167           6.04                
19Xi_Cas            10.51625            50.5125             4.8                 
Mu_Phe              10.331667           -46.085             4.59                
(10.63,58.753)      10.629583           58.753333           6.17                
M_31_And            0.0                 0.0                 0.0                 
Xi_Phe              10.443333           -56.501667          5.7                 
20Pi_Cas            10.867083           47.024722           4.94                
Lam1Scl             10.67875            -38.463333          6.06                
(10.674,-60.262)    10.674167           -60.2625            5.98                
Rho_Tuc             10.618333           -65.468056          5.39                
16Bet_Cet           10.8975             -17.986667          2.04                
(11.11,47.864)      11.11               47.864167           5.67                
(10.959,-12.012)    10.959167           -12.011667          6.02                
Eta_Phe             10.838333           -57.463056          4.36                
21_Cas              11.4125             74.988056           5.66                
22Omi_Cas           11.18125            48.284444           4.54                
17Phi1Cet           11.0475             -10.609444          4.76                
Lam2Scl             11.050417           -38.421667          5.9                 
(11.322,55.222)     11.321667           55.221667           5.42                
(11.185,-22.006)    11.185              -22.006111          5.24                
(11.238,-42.677)    11.237917           -42.676667          5.94                
(11.135,-62.498)    11.134583           -62.497778          6.07                
(11.662,69.325)     11.6625             69.325              6.33                
(11.35,-4.629)      11.350417           -4.629167           6.15                
(11.25,-53.715)     11.25               -53.715             6.15                
18_Cet              11.369583           -12.880833          6.15                
(11.563,55.305)     11.562917           55.305278           6.52                
(11.545,44.861)     11.545417           44.861389           6.05                
(11.424,-16.424)    11.42375            -16.424167          6.47                
(11.677,59.574)     11.676667           59.574444           6.39                
23_Cas              11.942083           74.8475             5.41                
(11.44,-47.552)     11.44               -47.551667          5.8                 
(11.549,-22.522)    11.549167           -22.521944          5.5                 
57_Psc              11.6375             15.475556           5.38                
(12.038,72.675)     12.037917           72.675              5.87                
58_Psc              11.75625            11.973889           5.5                 
59_Psc              11.806667           19.578889           6.13                
34Zet_And           11.834583           24.267222           4.06                
60_Psc              11.848333           6.740833            5.99                
61_Psc              11.978333           20.925278           6.54                
(11.93,-18.061)     11.930417           -18.061389          5.7                 
24Eta_Cas           12.275              57.815833           3.44                
(12.005,-21.722)    12.004583           -21.7225            5.57                
62_Psc              12.0725             7.3                 5.93                
(12.096,5.281)      12.095833           5.280556            5.75                
25Nu_Cas            12.20875            50.968333           4.89                
63Del_Psc           12.170833           7.585               4.43                
64_Psc              12.244583           16.940556           5.07                
35Nu_And            12.453333           41.078889           4.53                
(12.357,-13.561)    12.356667           -13.561389          5.59                
(12.308,-24.136)    12.307917           -24.136389          5.9                 
(12.236,-46.698)    12.23625            -46.697778          6.27                
65_Psc              12.47               27.710833           7.0                 
65_Psc              12.471667           27.710278           7.1                 
(12.389,-23.362)    12.389167           -23.361667          6.28                
(12.682,64.248)     12.681667           64.2475             5.39                
(12.576,45.002)     12.57625            45.002222           6.15                
19Phi2Cet           12.531667           -10.644444          5.19                
Lam_Hyi             12.1475             -74.923333          5.07                
(12.818,61.806)     12.818333           61.805833           6.07                
(12.739,51.508)     12.739167           51.508056           6.39                
(12.515,-43.395)    12.515417           -43.394722          6.48                
(13.721,83.707)     13.72125            83.707222           5.62                
(12.89,51.571)      12.890417           51.571111           6.21                
Rho_Phe             12.671667           -50.986944          5.22                
(12.826,3.385)      12.82625            3.385               6.37                
(13.267,61.124)     13.267083           61.124167           4.82                
(12.967,-43.709)    12.967083           -43.709167          6.9                 
(13.222,38.549)     13.2225             38.548611           6.69                
(13.169,-24.006)    13.169167           -24.005833          5.46                
20_Cet              13.252083           -1.144167           4.77                
(13.368,37.418)     13.3675             37.418056           6.06                
(13.448,52.689)     13.448333           52.689167           6.27                
(13.302,-24.777)    13.301667           -24.776944          6.46                
Lam1Tuc             13.10125            -69.504444          6.22                
26Ups1Cas           13.750417           58.972778           4.83                
66_Psc              13.646667           19.188333           5.74                
21_Cet              13.573333           -8.740833           6.16                
(13.772,48.679)     13.771667           48.678611           6.27                
(13.408,-62.871)    13.407917           -62.871389          5.7                 
36_And              13.741667           23.628333           5.47                
(13.811,24.557)     13.81125            24.556944           6.2                 
(14.054,57.997)     14.05375            57.996667           6.21                
(14.232,68.776)     14.231667           68.776111           6.37                
67_Psc              13.99375            27.209444           6.09                
(13.927,-7.347)     13.926667           -7.347222           5.85                
27Gam_Cas           14.177083           60.716667           2.47                
28Ups2Cas           14.165833           59.181111           4.63                
(14.196,60.363)     14.19625            60.362778           5.55                
22Phi3Cet           14.00625            -11.266667          5.31                
(13.981,-27.776)    13.98125            -27.775556          6.1                 
37Mu_And            14.188333           38.499444           3.87                
Lam2Tuc             13.75125            -69.526944          5.45                
38Eta_And           14.301667           23.4175             4.42                
(14.415,45.84)      14.415417           45.839722           6.12                
(14.63,66.352)      14.629583           66.352222           5.97                
68_Psc              14.459167           28.992222           5.42                
(14.559,33.951)     14.559167           33.950833           5.98                
(14.477,13.696)     14.477083           13.695833           6.32                
(14.579,21.404)     14.57875            21.404444           6.37                
(15.129,70.983)     15.129167           70.983056           6.39                
23Phi4Cet           14.682917           -11.38              5.61                
Alp_Scl             14.651667           -29.3575            4.31                
(14.593,-60.696)    14.593333           -60.696389          6.23                
(15.014,44.711)     15.014167           44.711111           6.84                
(15.015,44.713)     15.015              44.713333           6.04                
(14.957,6.483)      14.957083           6.483056            6.11                
(17.186,86.257)     17.18625            86.256944           4.25                
(23.46,89.016)      23.46               89.015556           6.46                
(15.577,51.035)     15.576667           51.035              6.47                
Xi_Scl              15.32625            -38.916667          5.59                
(15.756,47.376)     15.75625            47.376111           6.45                
39_And              15.72625            41.345              5.98                
69Sig_Psc           15.704583           31.804444           5.5                 
(15.904,61.075)     15.904167           61.075              5.92                
Sig_Scl             15.61               -31.551944          5.5                 
71Eps_Psc           15.735833           7.89                4.28                
Ome_Phe             15.5075             -57.0025            6.11                
25_Cet              15.760833           -4.836667           5.43                
(16.082,61.58)      16.081667           61.580278           5.84                
(16.01,52.502)      16.01               52.502222           5.99                
(15.705,-46.398)    15.705              -46.3975            5.36                
(15.823,-29.526)    15.823333           -29.525833          6.29                
26_Cet              15.954167           1.366667            6.04                
(16.195,51.01)      16.195              51.01               6.54                
(16.115,29.659)     16.115              29.658611           6.19                
(15.679,-65.456)    15.67875            -65.456111          6.21                
(16.152,39.991)     16.151667           39.991111           6.72                
(19.056,87.145)     19.05625            87.145278           6.25                
73_Psc              16.219167           5.656389            6.0                 
72_Psc              16.2725             14.946111           5.68                
(16.595,62.762)     16.595              62.761667           6.54                
74Psi1Psc           16.420417           21.473333           5.34                
74Psi1Psc           16.42375            21.465278           5.56                
(17.301,80.012)     17.30125            80.011667           6.29                
77_Psc              16.455              4.908333            6.35                
77_Psc              16.464167           4.909444            7.25                
27_Cet              16.403333           -9.979167           6.12                
(16.751,56.935)     16.750833           56.935              6.43                
28_Cet              16.52125            -9.839444           5.58                
(16.79,53.498)      16.789583           53.498333           6.38                
75_Psc              16.64               12.956111           6.12                
(16.532,-23.992)    16.532083           -23.9925            6.14                
30Mu_Cas            17.068333           54.920278           5.17                
Bet_Phe             16.520833           -46.718611          3.31                
(16.61,-35.661)     16.610417           -35.660833          6.61                
41_And              17.00375            43.941944           5.03                
(16.805,-23.996)    16.804583           -23.996389          6.37                
(17.139,58.264)     17.13875            58.263611           5.79                
78_Psc              17.005417           32.012222           6.25                
79Psi2Psc           16.988333           20.739167           5.55                
30_Cet              16.9425             -9.785556           5.82                
80_Psc              17.0925             5.649722            5.52                
Ups_Phe             16.949583           -41.486944          5.21                
Iot_Tuc             16.827917           -61.775278          5.37                
(18.07,79.674)      18.069583           79.673889           5.64                
31Eta_Cet           17.1475             -10.182222          3.45                
42Phi_And           17.375833           47.241944           4.25                
31_Cas              17.66375            68.778611           5.29                
43Bet_And           17.432917           35.620556           2.06                
Zet_Phe             17.09625            -55.245833          3.92                
81Psi3Psc           17.455              19.658611           5.55                
44_And              17.578333           42.081389           5.65                
(17.581,25.458)     17.580833           25.457778           5.8                 
(17.857,64.203)     17.856667           64.202778           5.55                
33The_Cas           17.775833           55.149722           4.33                
(17.548,15.674)     17.547917           15.674167           6.06                
32_Cas              17.9225             65.018889           5.57                
32_Cet              17.55               -8.906111           6.4                 
33_Cet              17.64               2.445556            5.95                
45_And              17.792917           37.724167           5.81                
82_Psc              17.778333           31.424722           5.16                
(17.531,-57.694)    17.530833           -57.694444          6.41                
84Chi_Psc           17.863333           21.034722           4.66                
83Tau_Psc           17.915              30.089722           4.51                
34_Cet              17.93125            -2.251111           5.94                
(18.291,61.706)     18.29125            61.705833           6.41                
(18.142,45.338)     18.141667           45.337778           6.11                
(18.248,30.064)     18.247917           30.064167           6.19                
(19.128,79.91)      19.127917           79.91               6.26                
(18.098,-30.802)    18.0975             -30.802222          6.52                
(18.189,-37.856)    18.189167           -37.856389          5.92                
85Phi_Psc           18.437083           24.583611           4.65                
86Zet_Psc           18.432917           7.575278            5.24                
86Zet_Psc           18.43875            7.578333            6.3                 
(18.521,28.53)      18.520833           28.529722           6.43                
87_Psc              18.531667           16.133611           5.98                
(19.05,71.744)      19.050417           71.743889           7.83                
37_Cet              18.6                -7.923056           5.13                
88_Psc              18.676667           6.995278            6.03                
38_Cet              18.705              -0.973889           5.7                 
(19.102,48.082)     19.102083           48.082222           6.61                
Nu_Phe              18.79625            -45.531389          4.96                
(19.078,33.115)     19.078333           33.114722           6.02                
(19.271,44.902)     19.27125            44.901944           6.34                
39_Cet              19.15125            -2.500278           5.41                
(19.35,31.745)      19.350417           31.744722           6.73                
(20.081,77.571)     20.08125            77.570556           6.31                
(19.542,47.42)      19.5425             47.419722           6.25                
Kap_Tuc             18.942083           -68.876111          4.86                
89_Psc              19.45               3.614444            5.16                
(19.696,37.386)     19.695833           37.386111           6.46                
(19.265,-66.398)    19.265              -66.398056          6.24                
(20.496,76.239)     20.49625            76.238889           6.38                
34Phi_Cas           20.020417           58.231667           4.98                
90Ups_Psc           19.866667           27.264167           4.76                
35_Cas              20.271667           64.658333           6.34                
42_Cet              19.95125            -0.508889           5.87                
(20.945,78.726)     20.945              78.725833           6.07                
(20.144,-3.247)     20.14375            -3.246944           6.23                
(20.116,-11.239)    20.115833           -11.238889          6.15                
91_Psc              20.280833           28.738056           5.23                
46Xi_And            20.585              45.528889           4.88                
(20.84,58.143)      20.84               58.143056           6.45                
(20.654,1.726)      20.654167           1.726389            6.2                 
43_Cet              20.645              -0.449722           6.49                
(20.627,-19.081)    20.627083           -19.081389          6.35                
47_And              20.919167           37.715              5.58                
(20.906,34.246)     20.90625            34.245833           6.29                
(20.854,20.469)     20.85375            20.468889           5.97                
(21.444,70.98)      21.44375            70.98               6.49                
36Psi_Cas           21.483333           68.13               4.74                
(20.879,-30.946)    20.879167           -30.945556          5.84                
44_Cet              21.010417           -8.0075             6.21                
45The_Cet           21.005833           -8.183333           3.6                 
37Del_Cas           21.454167           60.235278           2.68                
(21.086,-6.915)     21.085833           -6.914722           5.91                
(21.166,-15.66)     21.165833           -15.660278          6.14                
(21.203,-2.849)     21.202917           -2.848611           6.15                
(21.399,23.512)     21.39875            23.511667           6.18                
(21.17,-41.492)     21.17               -41.4925            5.42                
(21.578,43.458)     21.5775             43.457778           5.96                
(21.536,34.58)      21.53625            34.579722           6.31                
(21.175,-44.528)    21.174583           -44.528333          6.26                
46_Cet              21.405              -14.598889          4.9                 
93Rho_Psc           21.56375            19.172222           5.38                
94_Psc              21.67375            19.240278           5.5                 
(21.776,34.378)     21.775833           34.3775             6.27                
(21.614,-0.399)     21.61375            -0.398611           6.41                
48Ome_And           21.914167           45.406667           4.83                
(21.861,41.101)     21.860833           41.100556           6.46                
(21.723,3.535)      21.722917           3.535278            6.58                
(21.272,-64.369)    21.272083           -64.369444          5.93                
47_Cet              21.715              -13.056667          5.66                
(21.946,40.336)     21.945833           40.335556           6.6                 
(21.742,-32.543)    21.742083           -32.543056          5.79                
1Alp_UMi            37.952917           89.264167           2.02                
(21.944,-10.902)    21.944167           -10.901667          6.13                
(22.095,7.961)      22.095417           7.961389            6.2                 
38_Cas              22.8075             70.264722           5.81                
(22.718,66.098)     22.717917           66.098056           6.14                
Gam_Phe             22.09125            -43.318333          3.41                
49_And              22.525833           47.007222           5.27                
(22.18,-33.764)     22.180417           -33.763611          6.58                
97_Psc              22.470417           18.355556           6.02                
48_Cet              22.400417           -21.629444          5.12                
98Mu_Psc            22.54625            6.143889            4.84                
(22.377,-46.756)    22.376667           -46.756389          6.31                
(22.595,-26.208)    22.595417           -26.207778          5.93                
99Eta_Psc           22.870833           15.345833           3.62                
(23.032,34.8)       23.031667           34.8                6.39                
(23.358,58.328)     23.3575             58.3275             5.7                 
Del_Phe             22.812917           -49.072778          3.95                
(22.93,-30.283)     22.930417           -30.283333          5.82                
39Chi_Cas           23.482917           59.231944           4.71                
(22.913,-45.576)    22.912917           -45.575556          6.17                
(23.265,-9.015)     23.264583           -9.014722           6.59                
(23.233,-36.865)    23.233333           -36.865278          5.51                
(23.569,37.237)     23.569167           37.237222           5.88                
(23.151,-49.728)    23.15125            -49.727778          6.28                
(23.429,-7.025)     23.42875            -7.025278           5.76                
(24.344,74.301)     24.34375            74.300833           6.58                
(23.705,18.461)     23.704583           18.460556           5.89                
49_Cet              23.6575             -15.676111          5.63                
(23.969,41.076)     23.96875            41.076389           6.38                
(23.711,-31.892)    23.71125            -31.892222          6.12                
(24.113,48.723)     24.113333           48.722778           5.92                
101_Psc             23.943333           14.661389           6.22                
40_Cas              24.62875            73.04               5.28                
(23.978,17.434)     23.978333           17.433611           5.8                 
50Ups_And           24.199167           41.405556           4.09                
50_Cet              23.995833           -15.400278          5.42                
(23.813,-58.139)    23.813333           -58.139444          6.01                
(24.532,57.978)     24.531667           57.9775             5.56                
Tau_Scl             24.035              -29.9075            5.69                
102Pi_Psc           24.274583           12.141667           5.57                
51_And              24.498333           48.628333           3.57                
(24.632,45.4)       24.632083           45.4                6.36                
(24.407,-9.404)     24.407083           -9.403889           6.24                
(23.413,-78.505)    23.413333           -78.504722          6.11                
(24.187,-58.271)    24.186667           -58.270833          6.18                
52Chi_And           24.8375             44.386111           4.98                
(25.055,53.868)     25.054583           53.868333           6.39                
(24.614,-36.528)    24.614167           -36.528333          5.94                
Alp_Eri             24.42875            -57.236667          0.46                
(24.716,-21.275)    24.715833           -21.275278          5.58                
(24.708,-25.022)    24.708333           -25.021944          6.7                 
105_Psc             24.92               16.405833           5.97                
(25.166,43.298)     25.165833           43.297778           5.61                
53Tau_And           25.145              40.576944           4.94                
43_Cas              25.585417           68.043056           5.59                
(24.701,-53.439)    24.700833           -53.438889          6.84                
42_Cas              25.732917           70.6225             5.18                
(25.512,61.038)     25.5125             61.038333           6.71                
(25.574,58.628)     25.574167           58.627778           6.37                
(25.447,42.614)     25.446667           42.613611           4.95                
(25.327,25.746)     25.326667           25.745833           6.17                
(25.413,30.047)     25.413333           30.047222           5.99                
(24.948,-56.198)    24.9475             -56.198056          5.87                
(24.949,-56.195)    24.949167           -56.194722          5.76                
(25.743,61.422)     25.743333           61.421667           6.34                
106Nu_Psc           25.357917           5.4875              4.44                
(25.515,35.246)     25.514583           35.245556           5.64                
44_Cas              25.832083           60.551111           5.78                
(25.436,-11.325)    25.43625            -11.324722          5.75                
107_Psc             25.624167           20.268611           5.24                
(25.364,-38.133)    25.36375            -38.133056          6.17                
(25.819,45.322)     25.81875            45.322222           6.34                
Phi_Per             25.915              50.688611           4.07                
Pi_Scl              25.535833           -32.326944          5.25                
(25.512,-36.832)    25.5125             -36.8325            5.72                
(26.075,57.536)     26.074583           57.536389           6.21                
(25.681,-3.69)      25.68125            -3.690278           4.99                
(25.421,-50.039)    25.42125            -50.038889          6.64                
(26.192,57.089)     26.192083           57.089167           6.25                
(25.958,32.192)     25.958333           32.191667           6.34                
(26.11,46.14)       26.110417           46.139722           6.35                
(25.45,-60.789)     25.45               -60.789444          5.71                
(25.622,-53.741)    25.622083           -53.740556          5.52                
(25.978,-4.766)     25.978333           -4.765556           6.19                
109_Psc             26.2325             20.083056           6.27                
52Tau_Cet           26.017083           -15.9375            3.5                 
110Omi_Psc          26.348333           9.157778            4.26                
(26.937,63.852)     26.936667           63.852222           5.63                
(24.482,-82.975)    24.481667           -82.975             5.87                
(26.497,-5.733)     26.497083           -5.733333           5.34                
